,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
207,122.25,12.476118560829471,-73.86873435183867,16.719857368484906,9.706437568148774,45.384776310850235,160,208.7034764826176,225
208,32.25,6.407961869245868,-42.498971092285664,11.174351954652401,3.823886805528412,24.849242404917497,158,200.42635658914728,225
209,204.5,16.13621662281282,-59.6759541580156,20.011273227583548,13.906340757625005,68.06244584051393,158,203.91320293398533,227
210,79.0,10.02925341359355,-46.35756852303,12.201931951879306,8.469272890164635,34.14213562373095,158,202.5379746835443,218
211,127.25,12.728697186576065,34.677687885059754,16.814643767983753,10.089122970466528,47.45584412271571,159,204.03536345776033,227
212,6.0,2.763953195770684,-18.434955414599134,3.162277660168379,2.457980200625438,8.121320343559642,158,200.54166666666666,220
213,75.25,9.788323438736636,68.43661687572306,13.489297518348021,7.999973835692642,40.26345596729059,158,205.1328903654485,230
214,22.5,5.352372348458314,82.444608610968,6.65303644365657,4.36238918629584,17.071067811865476,159,200.24444444444444,221
215,81.75,10.202319970580199,-57.86643611533242,12.138919341327997,8.703196432572414,34.435028842544405,158,203.44036697247705,220
216,249.75,17.83231830967603,30.894850739075036,22.37458187357512,15.457050400466521,66.74873734152916,159,204.33933933933935,224
217,56.0,8.444016491289505,-34.28076976511745,12.65424184775237,6.069927124719785,31.263455967290597,162,208.24107142857142,225
218,113.25,12.008096370418468,-42.893366540968124,15.03090196926728,9.840262871127821,42.62741699796952,158,203.35099337748343,224
219,299.75,19.535955403674656,-70.56122522579314,20.909000266286746,18.927498504316745,66.94112549695429,158,206.37531276063388,224
220,232.75,17.214717657780774,-43.51709113396594,19.896648623144184,15.330314211544765,58.45584412271571,159,205.67132116004296,226
221,4.5,2.393653682408596,-0.0,2.6666666666666665,2.1081851067789197,6.414213562373095,170,197.88888888888889,228
